Medieval Fantasy Props Pack by Adorno

scene_props

68 in total


spr_ado_anglo-saxon_church 0 0 ado_anglo-saxon_church bo_ado_anglo-saxon_church 0

spr_ado_anglo-saxon_church_tombstone_A 0 0 ado_anglo-saxon_church_tombstone_A bo_ado_anglo-saxon_church_tombstone_A 0

spr_ado_anglo-saxon_church_tombstone_B 0 0 ado_anglo-saxon_church_tombstone_B bo_ado_anglo-saxon_church_tombstone_B 0

spr_ado_anglo-saxon_church_tombstone_C 0 0 ado_anglo-saxon_church_tombstone_C bo_ado_anglo-saxon_church_tombstone_C 0

spr_ado_med_brick_arch 0 0 ado_med_brick_arch bo_ado_med_brick_arch 0

spr_ado_med_brick_wall 0 0 ado_med_brick_wall bo_ado_med_brick_wall 0

spr_ado_med_brick_platform 0 0 ado_med_brick_platform bo_ado_med_brick_platform 0

spr_ado_med_brick_platform_2 0 0 ado_med_brick_platform_2 bo_ado_med_brick_platform_2 0

spr_ado_med_brick_platform_stairs 0 0 ado_med_brick_platform_stairs bo_ado_med_brick_platform_stairs 0

spr_ado_med_brick_wall_decay 0 0 ado_med_brick_wall_decay bo_ado_med_brick_wall_decay 0

spr_ado_med_brick_wall_short 0 0 ado_med_brick_wall_short bo_ado_med_brick_wall_short 0

spr_ado_med_brick_wall_short_2 0 0 ado_med_brick_wall_short_2 bo_ado_med_brick_wall_short_2 0

spr_ado_med_brick_wall_short_passage 0 0 ado_med_brick_wall_short_passage bo_ado_med_brick_wall_short_passage 0

spr_ado_med_bricks_rubble 0 0 ado_med_bricks_rubble bo_ado_med_bricks_rubble 0

spr_ado_med_bricks_rubble_oblong 0 0 ado_med_bricks_rubble_oblong bo_ado_med_bricks_rubble_oblong 0

spr_ado_med_bricks_rubble_small 0 0 ado_med_bricks_rubble_small bo_ado_med_bricks_rubble_small 0

spr_ado_med_bricks_stack 0 0 ado_med_bricks_stack bo_ado_med_bricks_stack 0

spr_ado_med_bridge 0 0 ado_med_bridge bo_ado_med_bridge 0

spr_ado_med_bridge_ramp 0 0 ado_med_bridge_ramp bo_ado_med_bridge_ramp 0

spr_ado_med_castle 0 0 ado_med_castle bo_ado_med_castle 0

spr_ado_med_column_stones 0 0 ado_med_column_stones bo_ado_med_column_stones 0

spr_ado_med_gate_left 0 0 ado_med_gate_left bo_ado_med_gate_left 0

spr_ado_med_gate_right 0 0 ado_med_gate_right bo_ado_med_gate_right 0

spr_ado_med_gate_building 0 0 ado_med_gate_building bo_ado_med_gate_building 0

spr_ado_med_gate_post 0 0 ado_med_gate_post bo_ado_med_gate_post 0

spr_ado_med_gatehouse_brick 0 0 ado_med_gatehouse_brick bo_ado_med_gatehouse_brick 0

spr_ado_med_grave_earth_mound 0 0 ado_med_grave_earth_mound bo_ado_med_grave_earth_mound 0

spr_ado_med_house_brick_wood 0 0 ado_med_house_brick_wood bo_ado_med_house_brick_wood 0

spr_ado_med_house_bricks_small 0 0 ado_med_house_bricks_small bo_ado_med_house_bricks_small 0

spr_ado_med_house_bricks_plaster_small 0 0 ado_med_house_bricks_plaster_small bo_ado_med_house_bricks_plaster_small 0

spr_ado_med_house_bricks_plaster_wood_roof_small 0 0 ado_med_house_bricks_plaster_wood_roof_small bo_ado_med_house_bricks_plaster_wood_roof_small 0

spr_ado_med_house_long 0 0 ado_med_house_long bo_ado_med_house_long 0

spr_ado_med_house_wood_tall 0 0 ado_med_house_wood_tall bo_ado_med_house_wood_tall 0

spr_ado_med_house_square 0 0 ado_med_house_square bo_ado_med_house_square 0

spr_ado_med_basilica_brick 0 0 ado_med_basilica_brick bo_ado_med_basilica_brick 0

